length_mean;length_std;max_length;min_length;global_zero_character_freq;global_one_character_freq;char_freq_std;zero_char_freq_std;one_char_freq_std;code
5.8;0.9797958971132712;7;4;17;12;2.5;0.1554745496887096;0.15547454968870958;1
3.6666666666666665;0.4714045207910317;4;3;6;5;0.5;0.31180478223116176;0.31180478223116176;1
2.6666666666666665;0.4714045207910317;3;2;4;4;0.0;0.13608276348795434;0.13608276348795434;1
4.5;1.5;6;3;3;6;1.5;0.24999999999999997;0.25;1
6.0;0.0;6;6;5;1;2.0;0.0;0.0;1
3.5;0.5;4;3;5;2;1.5;0.25;0.25;1
5.75;0.82915619758885;7;5;9;14;2.5;0.11128883179202059;0.11128883179202062;1
5.0;0.0;5;5;3;2;0.5;0.0;0.0;1
3.3333333333333335;2.0548046676563256;6;1;6;4;1.0;0.20786985482077452;0.20786985482077452;1
5.4;1.3564659966250536;7;4;10;17;3.5;0.3117298673596767;0.3117298673596767;1
6.0;0.8944271909999159;7;5;14;16;1.0;0.0722806322324201;0.07228063223242008;1
4.0;2.0;7;1;11;9;1.0;0.20564372687643093;0.20564372687643093;1
6.0;1.0;7;5;8;4;2.0;0.05714285714285716;0.05714285714285716;1
2.0;1.0;3;1;3;1;1.0;0.5;0.5;1
5.0;2.0;7;3;6;4;1.0;0.047619047619047616;0.047619047619047616;1
4.0;3.0;7;1;3;5;1.0;0.3571428571428572;0.35714285714285715;1
2.5;0.5;3;2;5;5;0.0;0.3726779962499649;0.37267799624996495;1
4.833333333333333;1.462494064565354;6;2;11;18;3.5;0.12561576727327792;0.12561576727327792;1
3.0;2.0;5;1;4;2;1.0;0.2;0.2;1
5.0;0.0;5;5;2;3;0.5;0.0;0.0;1
4.666666666666667;2.0548046676563256;7;2;10;4;3.0;0.1750931077223832;0.17509310772238318;1
4.75;1.299038105676658;6;3;8;11;1.5;0.1816207893141947;0.18162078931419476;1
5.333333333333333;0.4714045207910317;6;5;10;6;2.0;0.17708197167232476;0.17708197167232473;1
4.0;1.0;5;3;3;5;1.0;0.033333333333333354;0.033333333333333326;1
6.0;0.816496580927726;7;5;7;11;2.0;0.12795265564328;0.12795265564328004;1
