length_mean;length_std;max_length;min_length;max_char_freq;min_char_freq;char_freq_std;code
7.0;0.0;7;7;6;1;2.5;1
7.0;0.0;7;7;5;2;1.5;1
6.0;0.0;6;6;4;2;1.0;1
5.0;0.0;5;5;3;2;0.5;1
6.0;0.0;6;6;5;1;2.0;1
5.0;0.0;5;5;4;1;1.5;1
7.0;0.0;7;7;4;3;0.5;1
6.0;0.0;6;6;4;2;1.0;1
6.0;0.0;6;6;5;1;2.0;1
4.0;0.0;4;4;3;1;1.0;1
7.0;0.0;7;7;4;3;0.5;1
5.0;0.0;5;5;5;0;2.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;5;2;1.5;1
2.0;0.0;2;2;1;1;0.0;1
3.0;0.0;3;3;2;1;0.5;1
6.0;0.0;6;6;4;2;1.0;1
6.0;0.0;6;6;4;2;1.0;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;5;2;1.5;1
7.0;0.0;7;7;5;2;1.5;1
4.0;0.0;4;4;4;0;2.0;1
6.0;0.0;6;6;4;2;1.0;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
6.0;0.0;6;6;5;1;2.0;1
6.0;0.0;6;6;3;3;0.0;1
4.0;0.0;4;4;2;2;0.0;1
5.0;0.0;5;5;3;2;0.5;1
5.0;0.0;5;5;3;2;0.5;1
6.0;0.0;6;6;4;2;1.0;1
7.0;0.0;7;7;4;3;0.5;1
4.0;0.0;4;4;3;1;1.0;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
6.0;0.0;6;6;5;1;2.0;1
1.0;0.0;1;1;1;0;0.5;1
6.0;0.0;6;6;4;2;1.0;1
6.0;0.0;6;6;4;2;1.0;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;5;2;1.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;5;2;1.5;1
4.0;0.0;4;4;3;1;1.0;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;6;1;2.5;1
1.0;0.0;1;1;1;0;0.5;1
4.0;0.0;4;4;2;2;0.0;1
4.0;0.0;4;4;2;2;0.0;1
5.0;0.0;5;5;3;2;0.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
5.0;0.0;5;5;3;2;0.5;1
5.0;0.0;5;5;3;2;0.5;1
6.0;0.0;6;6;5;1;2.0;1
3.0;0.0;3;3;2;1;0.5;1
7.0;0.0;7;7;4;3;0.5;1
6.0;0.0;6;6;3;3;0.0;1
4.0;0.0;4;4;2;2;0.0;1
7.0;0.0;7;7;4;3;0.5;1
5.0;0.0;5;5;4;1;1.5;1
4.0;0.0;4;4;3;1;1.0;1
5.0;0.0;5;5;3;2;0.5;1
7.0;0.0;7;7;4;3;0.5;1
5.0;0.0;5;5;4;1;1.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
6.0;0.0;6;6;4;2;1.0;1
7.0;0.0;7;7;6;1;2.5;1
6.0;0.0;6;6;3;3;0.0;1
7.0;0.0;7;7;6;1;2.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;5;2;1.5;1
6.0;0.0;6;6;5;1;2.0;1
7.0;0.0;7;7;5;2;1.5;1
4.0;0.0;4;4;2;2;0.0;1
7.0;0.0;7;7;6;1;2.5;1
2.0;0.0;2;2;2;0;1.0;1
5.0;0.0;5;5;3;2;0.5;1
7.0;0.0;7;7;5;2;1.5;1
7.0;0.0;7;7;5;2;1.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;5;2;1.5;1
6.0;0.0;6;6;4;2;1.0;1
7.0;0.0;7;7;5;2;1.5;1
6.0;0.0;6;6;5;1;2.0;1
6.0;0.0;6;6;3;3;0.0;1
3.0;0.0;3;3;2;1;0.5;1
6.0;0.0;6;6;6;0;3.0;1
7.0;0.0;7;7;5;2;1.5;1
5.0;0.0;5;5;3;2;0.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;5;2;1.5;1
6.0;0.0;6;6;4;2;1.0;1
6.0;0.0;6;6;4;2;1.0;1
5.0;0.0;5;5;3;2;0.5;1
6.0;0.0;6;6;4;2;1.0;1
6.0;0.0;6;6;3;3;0.0;1
7.0;0.0;7;7;4;3;0.5;1
6.0;0.0;6;6;3;3;0.0;1
7.0;0.0;7;7;5;2;1.5;1
4.0;0.0;4;4;3;1;1.0;1
7.0;0.0;7;7;5;2;1.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
6.0;0.0;6;6;5;1;2.0;1
5.0;0.0;5;5;3;2;0.5;1
4.0;0.0;4;4;3;1;1.0;1
7.0;0.0;7;7;4;3;0.5;1
6.0;0.0;6;6;4;2;1.0;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;5;2;1.5;1
5.0;0.0;5;5;4;1;1.5;1
7.0;0.0;7;7;4;3;0.5;1
6.0;0.0;6;6;3;3;0.0;1
7.0;0.0;7;7;4;3;0.5;1
5.0;0.0;5;5;3;2;0.5;1
7.0;0.0;7;7;5;2;1.5;1
5.0;0.0;5;5;3;2;0.5;1
6.0;0.0;6;6;5;1;2.0;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
3.0;0.0;3;3;3;0;1.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
3.0;0.0;3;3;3;0;1.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
5.0;0.0;5;5;4;1;1.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;6;1;2.5;1
7.0;0.0;7;7;7;0;3.5;1
4.0;0.0;4;4;3;1;1.0;1
5.0;0.0;5;5;3;2;0.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;5;2;1.5;1
6.0;0.0;6;6;3;3;0.0;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;4;3;0.5;1
7.0;0.0;7;7;5;2;1.5;1
6.0;0.0;6;6;3;3;0.0;1
6.0;0.0;6;6;4;2;1.0;1
7.0;0.0;7;7;5;2;1.5;1
7.0;0.0;7;7;5;2;1.5;1
5.0;0.0;5;5;3;2;0.5;1
6.0;0.0;6;6;4;2;1.0;1
7.0;0.0;7;7;5;2;1.5;1
6.0;0.0;6;6;3;3;0.0;1
4.0;0.0;4;4;2;2;0.0;1
